Title,Year,Genre,BoxOffice,IMDB Rating,Tomatometer,Audience Score,RT URL
Bao,2018,"Animation, Short, Drama","$330,661",7.5,70,67,https://www.rottentomatoes.com/m/bao
Piper,2016,"Animation, Short, Family","$330,661",8.3,78,77,https://www.rottentomatoes.com/m/piper
Hair Love,2019,"Animation, Short, Comedy","$330,661",7.4,69,66,https://www.rottentomatoes.com/m/hair_love
If Anything Happens I Love You,2020,"Animation, Short, Drama","$330,661",7.8,73,71,https://www.rottentomatoes.com/m/if_anything_h...
The Silent Child,2017,"Short, Drama","$330,661",7.7,72,69,https://www.rottentomatoes.com/m/the_silent_child
World of Tomorrow,2015,"Animation, Short, Comedy","$330,661",8.1,76,74,https://www.rottentomatoes.com/m/world_of_tomo...
Stutterer,2015,"Short, Drama, Romance","$330,661",7.7,72,69,https://www.rottentomatoes.com/m/stutterer
Paperman,2012,"Animation, Short, Comedy","$330,661",8.2,77,75,https://www.rottentomatoes.com/m/paperman
La Luna,2011,"Animation, Short, Drama","$330,661",7.9,74,72,https://www.rottentomatoes.com/m/la_luna
Kitbull,2019,"Animation, Short, Drama","$330,661",8.0,75,73,https://www.rottentomatoes.com/m/kitbull
Loop,2016,"Crime, Sci-Fi, Thriller","$330,661",6.4,59,54,https://www.rottentomatoes.com/m/loop
Burrow,2020,"Animation, Short, Comedy","$330,661",7.4,69,66,https://www.rottentomatoes.com/m/burrow
For the Birds,2000,"Animation, Short, Comedy","$330,661",8.0,75,73,https://www.rottentomatoes.com/m/for_the_birds
Feast,2005,"Action, Comedy, Horror","$56,131",6.2,57,51,https://www.rottentomatoes.com/m/feast
The Present,2020,"Short, Drama","$330,661",7.6,71,68,https://www.rottentomatoes.com/m/the_present
